CAC40,Nikkei225
5153.189941,20900.63086
5215.850098,21425.50977
5265.189941,21602.68945
5231.220215,21025.56055
5405.319824,21450.84961
5269.919922,21627.33984
5350.529785,21205.81055
5476.200195,21807.5
5502.700195,21870.56055
5580.379883,22200.56055
5569.359863,22258.73047
5327.439941,21344.91992
5438.22998,21250.08984
5316.509766,21117.2207
5207.629883,20601.18945
5364.049805,20884.71094
5367.620117,21116.89063
5528.330078,21258.64063
5538.970215,21275.91992
5593.720215,21746.38086
5572.859863,21685.90039
5552.339844,21466.99023
5610.049805,21658.15039
5359,21087.16016
5327.919922,20684.82031
5300.790039,20418.81055
5326.870117,20710.91016
5480.47998,20704.36914
5603.990234,21199.57031
5655.459961,21988.28906
5690.779785,22079.08984
5640.580078,21878.90039
5488.319824,21410.19922
5665.47998,21798.86914
5636.25,22492.67969
5722.149902,22799.81055
5761.890137,22850.76953
5889.700195,23391.86914
5939.27002,23303.32031
5893.129883,23112.88086
5905.169922,23293.91016
5871.910156,23354.40039
5919.02002,24023.09961
6021.529785,23816.63086
6037.390137,23837.7207
6044.160156,23656.61914
6037.109863,23850.57031
6100.720215,24041.25977
6024.259766,23827.17969
5806.339844,23205.17969
6029.75,23827.98047
6069.350098,23687.58984
6029.720215,23386.74023
5309.899902,21142.96094
5139.109863,20749.75
4118.359863,17431.05078
4048.800049,16552.83008
4351.490234,19389.42969
4154.580078,17820.18945
4506.850098,19498.5
4499.009766,19897.25977
4393.319824,19262
4572.180176,19619.34961
4549.640137,20179.08984
4277.629883,20037.4707
4444.560059,20388.16016
4695.439941,21877.89063
5197.790039,22863.73047
4839.259766,22305.48047
4979.450195,22478.78906
4909.640137,22512.08008
5007.140137,22306.48047
4970.47998,22290.81055
5069.419922,22696.41992
4956.430176,22751.60938
4783.689941,21710
4889.52002,22329.93945
4962.930176,23289.35938
4896.330078,22920.30078
5002.939941,22882.65039
4965.069824,23205.42969
5034.140137,23406.49023
4978.180176,23360.30078
4729.660156,23204.61914
4824.879883,23029.90039
4946.810059,23619.68945
4935.859863,23410.63086
4909.640137,23516.58984
4594.240234,22977.13086
4960.879883,24325.23047
5380.160156,25385.86914
5495.890137,25527.36914
5598.180176,26644.71094
5609.149902,26751.24023
5507.549805,26652.51953
5527.839844,26763.39063
5522.009766,26656.60938
5551.410156,27444.16992
5706.879883,28139.0293
5611.689941,28519.17969
5559.569824,28631.44922
5399.209961,27663.39063
5659.259766,28779.18945
5703.669922,29520.07031
5773.549805,30017.91992
5703.220215,28966.00977
5782.649902,28864.32031
6046.549805,29717.83008
5997.959961,29792.05078
5988.810059,29176.69922
6102.959961,29854
6169.410156,29768.06055
6287.069824,29683.36914
6257.939941,29020.63086
6269.47998,28812.63086
6385.509766,29357.82031
6385.140137,28084.4707
6386.410156,28317.83008
6484.109863,29149.41016
6515.660156,28941.51953
6600.660156,28948.73047
6569.160156,28964.08008
6622.870117,29066.17969
6552.859863,28783.2793
6529.419922,27940.41992
6460.080078,28003.08008
6568.819824,27548
6612.759766,27283.58984
6816.959961,27820.03906
6896.040039,27977.15039
6626.109863,27013.25
6681.919922,27641.14063
6689.990234,29128.10938
6663.77002,30381.83984
6570.189941,30500.05078
6638.459961,30248.81055
6517.689941,28771.07031
6559.990234,28048.93945
6727.52002,29068.63086
6733.689941,28804.84961
6830.339844,28892.68945
7040.790039,29611.57031
7091.399902,29609.9707
7112.290039,29745.86914
6739.72998,28751.61914
6765.52002,28029.57031
6991.680176,28437.76953
6926.629883,28545.67969
7086.580078,28782.58984
7153.029785,28791.71094
7219.47998,28478.56055
7143,28124.2793
7068.589844,27522.25977
6965.879883,26717.33984
6951.379883,27439.99023
7011.600098,27696.08008
6929.629883,27122.07031
6752.430176,26476.5
6061.660156,25985.4707
6260.25,25162.7793
6620.240234,26827.42969
6553.680176,28149.83984
6684.310059,27665.98047
6548.220215,26985.80078
6589.350098,27093.18945
6581.419922,27105.25977
6533.77002,26847.90039
6258.359863,27003.56055
6362.680176,26427.65039
6285.240234,26739.0293
6515.75,26781.67969
